,tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,avg_sentiment,prop_pos,prop_neg,prop_neu,count,max_impact
0,2022-01-03,666531.0,658626.0,667720.0,658613.0,18260000000.0,1.27,0.0,0.0,0.0,1.0,1.0,netral
1,2022-01-04,669537.0,667513.0,672066.0,667513.0,18590000000.0,0.45,0.7891942858695984,1.0,0.0,0.0,2.0,positif
2,2022-01-05,666230.0,670317.0,673811.0,663484.0,17910000000.0,-0.49,0.0,0.0,0.0,1.0,0.0,netral
3,2022-01-06,665335.0,667485.0,667985.0,659323.0,18000000000.0,-0.13,-0.6461620330810547,0.0,1.0,0.0,1.0,negatif
4,2022-01-07,670132.0,666951.0,671215.0,664771.0,15710000000.0,0.72,0.5,0.5,0.0,0.5,2.0,positif
5,2022-01-10,669112.0,669738.0,672502.0,668928.0,15940000000.0,-0.15,0.0,0.0,0.0,1.0,0.0,netral
6,2022-01-11,664797.0,670580.0,672777.0,663650.0,18110000000.0,-0.64,1.0,1.0,0.0,0.0,1.0,positif
7,2022-01-12,664706.0,666240.0,669032.0,662576.0,19290000000.0,-0.01,0.0,0.0,0.0,1.0,1.0,netral
8,2022-01-13,665836.0,665997.0,666794.0,662634.0,18080000000.0,0.17,0.0,0.0,0.0,1.0,1.0,netral
9,2022-01-14,669340.0,665365.0,669941.0,663105.0,14050000000.0,0.53,0.0,0.0,0.0,1.0,0.0,netral
10,2022-01-17,664505.0,671141.0,671182.0,662586.0,14860000000.0,-0.72,0.0,0.0,0.0,1.0,1.0,netral
11,2022-01-18,661406.0,665496.0,666740.0,653427.0,17280000000.0,-0.47,-1.0,0.0,1.0,0.0,1.0,negatif
12,2022-01-19,659198.0,660983.0,661545.0,657538.0,17140000000.0,-0.33,0.0,0.0,0.0,1.0,0.0,netral
13,2022-01-20,662687.0,660780.0,663721.0,658777.0,15830000000.0,0.53,0.0,0.0,0.0,1.0,1.0,netral
14,2022-01-21,672637.0,662635.0,672637.0,660742.0,15460000000.0,1.5,0.4445842206478119,0.5,0.0,0.5,4.0,positif
15,2022-01-24,665517.0,670082.0,671226.0,664541.0,17620000000.0,-1.06,1.0,1.0,0.0,0.0,1.0,positif
16,2022-01-25,656817.0,663088.0,663295.0,652393.0,21320000000.0,-1.31,-1.0,0.0,1.0,0.0,1.0,negatif
17,2022-01-26,660082.0,656982.0,660134.0,654952.0,22630000000.0,0.5,-1.0,0.0,1.0,0.0,1.0,negatif
18,2022-01-27,661116.0,658685.0,662741.0,657075.0,17780000000.0,0.16,0.5,0.5,0.0,0.5,4.0,positif
19,2022-01-28,664551.0,661872.0,664551.0,660349.0,19270000000.0,0.52,0.0,0.0,0.0,1.0,2.0,netral
20,2022-01-31,663115.0,665671.0,666991.0,662666.0,18250000000.0,-0.22,0.9736580550670624,1.0,0.0,0.0,2.0,positif
21,2022-02-02,670765.0,665779.0,671660.0,665030.0,21480000000.0,1.15,1.0,1.0,0.0,0.0,1.0,positif
22,2022-02-03,668385.0,672440.0,673060.0,664808.0,20240000000.0,-0.35,0.0,0.0,0.0,1.0,1.0,netral
23,2022-02-04,673139.0,669794.0,673139.0,668540.0,17730000000.0,0.71,-0.8989858329296112,0.0,1.0,0.0,2.0,negatif
24,2022-02-07,680494.0,675135.0,680673.0,674891.0,22590000000.0,1.09,0.25062423944473267,0.6666666666666666,0.3333333333333333,0.0,3.0,positif
25,2022-02-08,678952.0,681318.0,686075.0,678042.0,25590000000.0,-0.23,0.0,0.0,0.0,1.0,1.0,netral
26,2022-02-09,683461.0,681175.0,684039.0,679663.0,25350000000.0,0.66,0.5,0.5,0.0,0.5,2.0,positif
27,2022-02-10,682364.0,685933.0,687435.0,681421.0,27950000000.0,-0.16,0.5,0.5,0.0,0.5,2.0,positif
28,2022-02-11,681561.0,681361.0,682506.0,677354.0,22360000000.0,-0.12,-0.004701167345046997,0.5,0.5,0.0,2.0,netral
29,2022-02-14,673449.0,679132.0,679671.0,669851.0,20290000000.0,-1.19,-0.17332324385643005,0.5,0.5,0.0,2.0,netral
30,2022-02-15,680750.0,674636.0,680750.0,672736.0,21040000000.0,1.08,0.0,0.0,0.0,1.0,0.0,netral
31,2022-02-16,685020.0,682193.0,685765.0,682116.0,21630000000.0,0.63,0.0,0.0,0.0,1.0,0.0,netral
32,2022-02-17,683512.0,683618.0,685971.0,679059.0,22950000000.0,-0.22,0.0,0.0,0.0,1.0,1.0,netral
33,2022-02-18,689282.0,683752.0,689941.0,681236.0,23380000000.0,0.84,1.0,1.0,0.0,0.0,1.0,positif
34,2022-02-21,690296.0,689675.0,692791.0,688613.0,23160000000.0,0.15,0.9003702402114868,1.0,0.0,0.0,1.0,positif
35,2022-02-22,686199.0,687982.0,690400.0,682394.0,19620000000.0,-0.59,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3.0,netral
36,2022-02-23,692006.0,687863.0,692006.0,687381.0,20480000000.0,0.85,0.0,0.0,0.0,1.0,1.0,netral
37,2022-02-24,681782.0,691248.0,692991.0,675886.0,28270000000.0,-1.48,-0.2,0.2,0.4,0.4,5.0,negatif
38,2022-02-25,688817.0,682537.0,690491.0,682224.0,21190000000.0,1.03,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3.0,netral
39,2022-03-01,692144.0,696470.0,699694.0,691598.0,19600000000.0,0.48,0.9659276604652405,1.0,0.0,0.0,5.0,positif
40,2022-03-02,686840.0,695662.0,697336.0,686196.0,32580000000.0,-0.77,-0.5630672176678976,0.0,0.6666666666666666,0.3333333333333333,3.0,negatif
41,2022-03-04,692833.0,692132.0,693699.0,689573.0,24750000000.0,0.87,-1.0,0.0,1.0,0.0,1.0,negatif
42,2022-03-07,686907.0,690532.0,691793.0,684381.0,26130000000.0,-0.86,-0.5,0.0,0.5,0.5,2.0,negatif
43,2022-03-08,681418.0,689563.0,692986.0,681418.0,24620000000.0,-0.8,0.7395446300506592,1.0,0.0,0.0,1.0,positif
44,2022-03-09,686444.0,683667.0,688893.0,682409.0,21000000000.0,0.74,0.6681355834007263,1.0,0.0,0.0,1.0,positif
45,2022-03-10,692401.0,689717.0,692401.0,683773.0,19410000000.0,0.87,-1.0,0.0,1.0,0.0,1.0,negatif
46,2022-03-11,692260.0,687263.0,692260.0,685386.0,17410000000.0,-0.02,0.0,0.0,0.0,1.0,0.0,netral
47,2022-03-14,695220.0,694921.0,696999.0,691831.0,19330000000.0,0.43,0.37852202355861664,0.5,0.0,0.5,2.0,positif
48,2022-03-15,691819.0,696835.0,699632.0,689492.0,18970000000.0,-0.49,1.0,1.0,0.0,0.0,2.0,positif
49,2022-03-16,699240.0,695135.0,699240.0,694684.0,17129999999.999998,1.07,1.0,1.0,0.0,0.0,1.0,positif
50,2022-03-17,696438.0,701653.0,703270.0,694917.0,19740000000.0,-0.4,0.01993080973625183,0.5,0.5,0.0,2.0,netral
51,2022-03-18,695496.0,698126.0,700059.0,692641.0,19810000000.0,-0.14,-0.9690702855587006,0.0,1.0,0.0,2.0,negatif
52,2022-03-21,695518.0,694589.0,697415.0,692993.0,21670000000.0,0.0,0.8540773689746857,1.0,0.0,0.0,2.0,positif
53,2022-03-22,700082.0,697498.0,700326.0,696820.0,18830000000.0,0.66,0.0,0.0,0.0,1.0,2.0,netral
54,2022-03-23,699612.0,701084.0,702204.0,697616.0,21420000000.0,-0.07,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3.0,netral
55,2022-03-24,704969.0,698618.0,704969.0,697783.0,26500000000.0,0.77,-1.0,0.0,1.0,0.0,1.0,negatif
56,2022-03-25,700253.0,705055.0,705534.0,697840.0,20190000000.0,-0.67,0.0,0.0,0.0,1.0,1.0,netral
57,2022-03-28,704960.0,699632.0,705154.0,698722.0,17400000000.0,0.67,0.0,0.0,0.0,1.0,1.0,netral
58,2022-03-29,701169.0,705273.0,707278.0,700791.0,18520000000.0,-0.54,0.0,0.0,0.0,1.0,2.0,netral
59,2022-03-30,705319.0,703720.0,705587.0,702265.0,19460000000.0,0.59,-0.3894970268011093,0.0,0.5,0.5,2.0,negatif
60,2022-03-31,707144.0,707076.0,709950.0,704981.0,17870000000.0,0.26,1.0,1.0,0.0,0.0,1.0,positif
61,2022-04-01,707876.0,709370.0,709930.0,704049.0,15760000000.0,0.1,0.5,0.5,0.0,0.5,2.0,positif
62,2022-04-04,711622.0,708225.0,711622.0,706021.0,17360000000.0,0.53,-0.6203966736793518,0.0,1.0,0.0,1.0,negatif
63,2022-04-05,714830.0,712291.0,714830.0,711011.0,18420000000.0,0.45,0.0,0.0,0.0,1.0,1.0,netral
64,2022-04-06,710422.0,712841.0,714799.0,709022.0,21670000000.0,-0.62,0.0,0.0,0.0,1.0,2.0,netral
65,2022-04-07,712737.0,711509.0,714517.0,709790.0,20480000000.0,0.33,0.9602565964063009,1.0,0.0,0.0,3.0,positif
66,2022-04-08,721083.0,715731.0,721649.0,715126.0,20740000000.0,1.17,0.9851030707359314,1.0,0.0,0.0,1.0,positif
67,2022-04-11,720379.0,721200.0,735530.0,719461.0,33460000000.0,-0.1,0.25,0.25,0.0,0.75,4.0,netral
68,2022-04-12,721478.0,720508.0,732024.0,714659.0,25390000000.0,0.15,0.6353611747423807,0.6666666666666666,0.0,0.3333333333333333,3.0,positif
69,2022-04-13,726278.0,724019.0,726640.0,721286.0,24590000000.0,0.67,0.0,0.0,0.0,1.0,0.0,netral
70,2022-04-14,723553.0,726532.0,728291.0,723433.0,23870000000.0,-0.38,0.5,0.5,0.0,0.5,2.0,positif
71,2022-04-18,727529.0,724550.0,727708.0,724336.0,21080000000.0,0.55,0.34929201006889343,0.5,0.0,0.5,2.0,positif
72,2022-04-19,719923.0,728342.0,729739.0,719923.0,21480000000.0,-1.05,0.0,0.0,0.0,1.0,1.0,netral
73,2022-04-20,722736.0,722687.0,726256.0,718496.0,26630000000.0,0.39,0.9847820699214935,1.0,0.0,0.0,1.0,positif
74,2022-04-21,727619.0,724950.0,729467.0,724573.0,17710000000.0,0.68,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,netral
75,2022-04-22,722561.0,725198.0,729148.0,717481.0,24980000000.0,-0.7,0.1147733449935913,0.4,0.2,0.4,5.0,positif
